<Event(17-VideoExpose {})>
<Event(16-VideoResize {'size': (600, 400), 'w': 600, 'h': 400})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(4-MouseMotion {'pos': (599, 360), 'rel': (600, 361), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (190, 288), 'rel': (1, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (191, 286), 'rel': (1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (192, 283), 'rel': (1, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (193, 277), 'rel': (1, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (196, 273), 'rel': (3, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (196, 269), 'rel': (0, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (198, 264), 'rel': (2, -5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (201, 257), 'rel': (3, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (202, 255), 'rel': (1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (205, 251), 'rel': (3, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (206, 247), 'rel': (1, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (208, 245), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (210, 244), 'rel': (2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (213, 241), 'rel': (3, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (215, 240), 'rel': (2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (218, 237), 'rel': (3, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (222, 235), 'rel': (4, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (223, 234), 'rel': (1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (227, 233), 'rel': (4, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (232, 231), 'rel': (5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (238, 229), 'rel': (6, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (246, 227), 'rel': (8, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (255, 225), 'rel': (9, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (265, 223), 'rel': (10, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (277, 222), 'rel': (12, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (291, 221), 'rel': (14, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (302, 220), 'rel': (11, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (312, 220), 'rel': (10, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (325, 221), 'rel': (13, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (336, 224), 'rel': (11, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (350, 229), 'rel': (14, 5), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (369, 239), 'rel': (19, 10), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (390, 250), 'rel': (21, 11), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (412, 262), 'rel': (22, 12), 'buttons': (0, 0, 0)})>
<Event(5-MouseButtonDown {'pos': (412, 262), 'button': 1})>
<Event(4-MouseMotion {'pos': (434, 276), 'rel': (22, 14), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (452, 291), 'rel': (18, 15), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (464, 301), 'rel': (12, 10), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (474, 311), 'rel': (10, 10), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (482, 319), 'rel': (8, 8), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (486, 326), 'rel': (4, 7), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (489, 331), 'rel': (3, 5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (489, 333), 'rel': (0, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (489, 335), 'rel': (0, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (489, 336), 'rel': (0, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (488, 337), 'rel': (-1, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (487, 338), 'rel': (-1, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (484, 340), 'rel': (-3, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (482, 340), 'rel': (-2, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (477, 340), 'rel': (-5, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (471, 340), 'rel': (-6, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (464, 339), 'rel': (-7, -1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (454, 335), 'rel': (-10, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (445, 331), 'rel': (-9, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (433, 325), 'rel': (-12, -6), 'buttons': (1, 0, 0)})>
<Event(6-MouseButtonUp {'pos': (433, 325), 'button': 1})>
<Event(4-MouseMotion {'pos': (420, 318), 'rel': (-13, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (405, 312), 'rel': (-15, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (390, 301), 'rel': (-15, -11), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (372, 291), 'rel': (-18, -10), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (353, 283), 'rel': (-19, -8), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (336, 272), 'rel': (-17, -11), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (318, 261), 'rel': (-18, -11), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (300, 248), 'rel': (-18, -13), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (285, 241), 'rel': (-15, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (273, 231), 'rel': (-12, -10), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (264, 224), 'rel': (-9, -7), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (256, 218), 'rel': (-8, -6), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (252, 214), 'rel': (-4, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (251, 213), 'rel': (-1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (251, 211), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (251, 210), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (251, 209), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (253, 207), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (254, 206), 'rel': (1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (257, 203), 'rel': (3, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (259, 201), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (261, 199), 'rel': (2, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (266, 197), 'rel': (5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (272, 194), 'rel': (6, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (278, 192), 'rel': (6, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (284, 189), 'rel': (6, -3), 'buttons': (0, 0, 0)})>
<Event(5-MouseButtonDown {'pos': (284, 189), 'button': 1})>
<Event(4-MouseMotion {'pos': (291, 188), 'rel': (7, -1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (297, 186), 'rel': (6, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (302, 186), 'rel': (5, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (305, 186), 'rel': (3, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (308, 186), 'rel': (3, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (309, 186), 'rel': (1, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (308, 190), 'rel': (-1, 4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (307, 192), 'rel': (-1, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (303, 195), 'rel': (-4, 3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (301, 197), 'rel': (-2, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (297, 200), 'rel': (-4, 3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (291, 201), 'rel': (-6, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (284, 203), 'rel': (-7, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (276, 203), 'rel': (-8, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (267, 203), 'rel': (-9, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (258, 203), 'rel': (-9, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (249, 202), 'rel': (-9, -1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (242, 199), 'rel': (-7, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (234, 197), 'rel': (-8, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (228, 193), 'rel': (-6, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (220, 189), 'rel': (-8, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (217, 186), 'rel': (-3, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (213, 183), 'rel': (-4, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (212, 178), 'rel': (-1, -5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (210, 176), 'rel': (-2, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (210, 174), 'rel': (0, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (210, 172), 'rel': (0, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (210, 168), 'rel': (0, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (211, 167), 'rel': (1, -1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (213, 164), 'rel': (2, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (219, 161), 'rel': (6, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (228, 158), 'rel': (9, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (241, 154), 'rel': (13, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (254, 152), 'rel': (13, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (268, 149), 'rel': (14, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (283, 149), 'rel': (15, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (295, 149), 'rel': (12, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (307, 151), 'rel': (12, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (319, 153), 'rel': (12, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (327, 158), 'rel': (8, 5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (335, 164), 'rel': (8, 6), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (340, 170), 'rel': (5, 6), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (342, 177), 'rel': (2, 7), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (344, 182), 'rel': (2, 5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (344, 186), 'rel': (0, 4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (344, 193), 'rel': (0, 7), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (342, 199), 'rel': (-2, 6), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (339, 206), 'rel': (-3, 7), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 214), 'rel': (-7, 8), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (324, 219), 'rel': (-8, 5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (313, 226), 'rel': (-11, 7), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (300, 235), 'rel': (-13, 9), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (280, 242), 'rel': (-20, 7), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (255, 248), 'rel': (-25, 6), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (235, 249), 'rel': (-20, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (210, 249), 'rel': (-25, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (192, 249), 'rel': (-18, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (173, 245), 'rel': (-19, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (157, 241), 'rel': (-16, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (149, 237), 'rel': (-8, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (143, 233), 'rel': (-6, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (141, 231), 'rel': (-2, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (141, 228), 'rel': (0, -3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (141, 223), 'rel': (0, -5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (145, 215), 'rel': (4, -8), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (152, 203), 'rel': (7, -12), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (163, 189), 'rel': (11, -14), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (180, 176), 'rel': (17, -13), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (193, 165), 'rel': (13, -11), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (213, 151), 'rel': (20, -14), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (234, 139), 'rel': (21, -12), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (258, 130), 'rel': (24, -9), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (278, 122), 'rel': (20, -8), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (292, 118), 'rel': (14, -4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (307, 116), 'rel': (15, -2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (317, 116), 'rel': (10, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (324, 117), 'rel': (7, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (328, 120), 'rel': (4, 3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (330, 122), 'rel': (2, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 125), 'rel': (2, 3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 129), 'rel': (0, 4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 133), 'rel': (0, 4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 138), 'rel': (0, 5), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 142), 'rel': (0, 4), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 144), 'rel': (0, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (329, 147), 'rel': (-3, 3), 'buttons': (1, 0, 0)})>
<Event(6-MouseButtonUp {'pos': (329, 147), 'button': 1})>
<Event(4-MouseMotion {'pos': (326, 149), 'rel': (-3, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (325, 149), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(5-MouseButtonDown {'pos': (325, 149), 'button': 1})>
<Event(6-MouseButtonUp {'pos': (325, 149), 'button': 1})>
<Event(5-MouseButtonDown {'pos': (325, 149), 'button': 1})>
<Event(6-MouseButtonUp {'pos': (325, 149), 'button': 1})>
<Event(5-MouseButtonDown {'pos': (325, 149), 'button': 1})>
<Event(6-MouseButtonUp {'pos': (325, 149), 'button': 1})>
<Event(2-KeyDown {'unicode': 'd', 'key': 100, 'mod': 0, 'scancode': 32})>
<Event(2-KeyDown {'unicode': 'a', 'key': 97, 'mod': 0, 'scancode': 30})>
<Event(4-MouseMotion {'pos': (323, 149), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(3-KeyUp {'key': 100, 'mod': 0, 'scancode': 32})>
<Event(4-MouseMotion {'pos': (322, 149), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (321, 150), 'rel': (-1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (320, 151), 'rel': (-1, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (319, 151), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(2-KeyDown {'unicode': 's', 'key': 115, 'mod': 0, 'scancode': 31})>
<Event(2-KeyDown {'unicode': 'd', 'key': 100, 'mod': 0, 'scancode': 32})>
<Event(3-KeyUp {'key': 97, 'mod': 0, 'scancode': 30})>
<Event(3-KeyUp {'key': 115, 'mod': 0, 'scancode': 31})>
<Event(4-MouseMotion {'pos': (318, 151), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (317, 151), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (316, 151), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (314, 151), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(3-KeyUp {'key': 100, 'mod': 0, 'scancode': 32})>
<Event(2-KeyDown {'unicode': 'w', 'key': 119, 'mod': 0, 'scancode': 17})>
<Event(4-MouseMotion {'pos': (313, 151), 'rel': (-1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (313, 150), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (311, 150), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (311, 148), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (310, 147), 'rel': (-1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (309, 146), 'rel': (-1, -1), 'buttons': (0, 0, 0)})>
<Event(2-KeyDown {'unicode': 'd', 'key': 100, 'mod': 0, 'scancode': 32})>
<Event(3-KeyUp {'key': 119, 'mod': 0, 'scancode': 17})>
<Event(2-KeyDown {'unicode': 'a', 'key': 97, 'mod': 0, 'scancode': 30})>
<Event(3-KeyUp {'key': 100, 'mod': 0, 'scancode': 32})>
<Event(2-KeyDown {'unicode': 'f', 'key': 102, 'mod': 0, 'scancode': 33})>
<Event(3-KeyUp {'key': 97, 'mod': 0, 'scancode': 30})>
<Event(4-MouseMotion {'pos': (309, 147), 'rel': (0, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (312, 148), 'rel': (3, 1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (316, 151), 'rel': (4, 3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (319, 153), 'rel': (3, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (323, 155), 'rel': (4, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (326, 157), 'rel': (3, 2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (328, 157), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (329, 157), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (331, 157), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (332, 157), 'rel': (1, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (335, 157), 'rel': (3, 0), 'buttons': (0, 0, 0)})>
<Event(2-KeyDown {'unicode': ' ', 'key': 32, 'mod': 0, 'scancode': 57})>
<Event(4-MouseMotion {'pos': (338, 157), 'rel': (3, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (345, 157), 'rel': (7, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (353, 153), 'rel': (8, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (359, 150), 'rel': (6, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (366, 146), 'rel': (7, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (373, 142), 'rel': (7, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (377, 139), 'rel': (4, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (379, 138), 'rel': (2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (380, 136), 'rel': (1, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (382, 136), 'rel': (2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (382, 135), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (382, 134), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(3-KeyUp {'key': 102, 'mod': 0, 'scancode': 33})>
<Event(4-MouseMotion {'pos': (382, 133), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(2-KeyDown {'unicode': 'a', 'key': 97, 'mod': 0, 'scancode': 30})>
<Event(4-MouseMotion {'pos': (382, 131), 'rel': (0, -2), 'buttons': (0, 0, 0)})>
<Event(2-KeyDown {'unicode': 's', 'key': 115, 'mod': 0, 'scancode': 31})>
<Event(4-MouseMotion {'pos': (382, 130), 'rel': (0, -1), 'buttons': (0, 0, 0)})>
<Event(3-KeyUp {'key': 32, 'mod': 0, 'scancode': 57})>
<Event(5-MouseButtonDown {'pos': (382, 130), 'button': 1})>
<Event(4-MouseMotion {'pos': (381, 130), 'rel': (-1, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (380, 130), 'rel': (-1, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (378, 129), 'rel': (-2, -1), 'buttons': (1, 0, 0)})>
<Event(2-KeyDown {'unicode': 'f', 'key': 102, 'mod': 0, 'scancode': 33})>
<Event(4-MouseMotion {'pos': (377, 129), 'rel': (-1, 0), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (376, 129), 'rel': (-1, 0), 'buttons': (1, 0, 0)})>
<Event(3-KeyUp {'key': 115, 'mod': 0, 'scancode': 31})>
<Event(4-MouseMotion {'pos': (374, 128), 'rel': (-2, -1), 'buttons': (1, 0, 0)})>
<Event(6-MouseButtonUp {'pos': (374, 128), 'button': 1})>
<Event(3-KeyUp {'key': 97, 'mod': 0, 'scancode': 30})>
<Event(5-MouseButtonDown {'pos': (374, 128), 'button': 3})>
<Event(4-MouseMotion {'pos': (373, 128), 'rel': (-1, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (372, 128), 'rel': (-1, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (371, 128), 'rel': (-1, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (370, 128), 'rel': (-1, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (369, 128), 'rel': (-1, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (365, 128), 'rel': (-4, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (364, 128), 'rel': (-1, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (361, 128), 'rel': (-3, 0), 'buttons': (0, 0, 1)})>
<Event(2-KeyDown {'unicode': ' ', 'key': 32, 'mod': 0, 'scancode': 57})>
<Event(4-MouseMotion {'pos': (359, 128), 'rel': (-2, 0), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (358, 129), 'rel': (-1, 1), 'buttons': (0, 0, 1)})>
<Event(4-MouseMotion {'pos': (354, 132), 'rel': (-4, 3), 'buttons': (0, 0, 1)})>
<Event(5-MouseButtonDown {'pos': (354, 132), 'button': 1})>
<Event(6-MouseButtonUp {'pos': (353, 133), 'button': 3})>
<Event(4-MouseMotion {'pos': (348, 138), 'rel': (-5, 5), 'buttons': (1, 0, 0)})>
<Event(3-KeyUp {'key': 102, 'mod': 0, 'scancode': 33})>
<Event(4-MouseMotion {'pos': (347, 140), 'rel': (-1, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (344, 142), 'rel': (-3, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (344, 144), 'rel': (0, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (341, 147), 'rel': (-3, 3), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (341, 149), 'rel': (0, 2), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (340, 150), 'rel': (-1, 1), 'buttons': (1, 0, 0)})>
<Event(4-MouseMotion {'pos': (339, 152), 'rel': (-1, 2), 'buttons': (1, 0, 0)})>
